epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time
101,0.56130066243085,63.125,,,815.2971127033234
102,0.5703573985533281,65.625,0.5719604383815419,66.25,804.1387617588043
103,0.5885065035386519,65.0,,,810.299718618393
104,0.573365330696106,64.375,0.56906151229685,66.25,817.2346937656403
105,0.5439634675329382,69.375,,,820.2610042095184
106,0.6044257229024713,62.5,0.5682866248217496,66.25,812.507640838623
107,0.5570943247188221,67.5,,,803.9725947380066
108,0.5477719550782983,67.5,0.5706169876185331,66.25,802.3001050949097
109,0.5620183836330067,69.375,,,803.4752984046936
110,0.6137591221115806,60.0,0.5725800340825861,66.875,801.8964293003082
111,0.5556172565980391,65.0,,,796.0311570167542
112,0.601595168763941,64.375,0.5694053552367471,66.875,793.249311208725
113,0.5354956957426938,68.125,,,791.3654119968414
114,0.5724470290270719,67.5,0.5729917179454457,66.875,794.4816515445709
115,0.5698540102351796,62.5,,,794.4950757026672
116,0.583238276568326,63.125,0.5731934254819696,67.5,790.7513206005096
